1515,OTU1515,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,AM945668.1.1328,g_Halomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
1383,OTU1383,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AM990657.1.1462,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
2988,OTU2988,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,AM990725.1.1370,g_Vibrio,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
2688,OTU2688,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY028199.1.1448,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
129,OTU129,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,AY033322.1.1446,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
3484,OTU3484,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,AY162103.1.1337,g_Sphingobium,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
2732,OTU2732,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,AY162114.1.1412,g_Vibrio,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
3431,OTU3431,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,AY167286.1.1489,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
4704,OTU4704,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,AY167340.1.1444,g_Colwellia,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
1581,OTU1581,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,AY188938.1.1501,g_Cobetia,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Cobetia;
2245,OTU2245,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,AY258118.1.1416,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
1032,OTU1032,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY344429.1.1480,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1257,OTU1257,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY345469.1.1433,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
4604,OTU4604,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,AY375080.1.1497,g_Colwellia,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
1565,OTU1565,Bacteria,Chloroflexi,SAR202 clade,,,,AY534096.1.1494,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
724,OTU724,Bacteria,Chloroflexi,SAR202 clade,,,,AY534097.1.1494,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
641,OTU641,Bacteria,Chloroflexi,SAR202 clade,,,,AY534099.1.1476,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1287,OTU1287,Bacteria,Chloroflexi,SAR202 clade,,,,AY534100.1.1466,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1655,OTU1655,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY576713.1.1487,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
3554,OTU3554,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,OM182 clade,,AY627382.1.1532,f_OM182 clade,Bacteria;Proteobacteria;Gammaproteobacteria;OM182 clade;
884,OTU884,Archaea,Thaumarchaeota,Marine Group I,,,,AY627439.1.1193,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1086,OTU1086,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,AY628694.1.1536,g_Cobetia,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Cobetia;
1654,OTU1654,Bacteria,Cyanobacteria,Chloroplast,,,,AY664138.1.1204,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1895,OTU1895,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY664275.1.1237,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
675,OTU675,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,AY700630.1.1436,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
1765,OTU1765,Bacteria,Cyanobacteria,Chloroplast,,,,AY702176.1.1422,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
985,OTU985,Bacteria,Chloroflexi,SAR202 clade,,,,AY704387.1.1461,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
151,OTU151,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY726843.1.1232,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
877,OTU877,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,AY726847.1.1222,f_uncultured,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;
1005,OTU1005,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY726882.1.1244,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1342,OTU1342,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,AY726883.1.1242,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
2091,OTU2091,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,AY726886.1.1207,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
66,OTU66,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY726967.1.1236,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
893,OTU893,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,AY744399.55976.57385,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
2453,OTU2453,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,AY833570.1.1506,g_Microbacterium,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;
1772,OTU1772,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,uncultured,AY856363.1.1409,g_uncultured,Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;uncultured;
1681,OTU1681,Bacteria,Chloroflexi,SAR202 clade,,,,AY869680.1.1463,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
623,OTU623,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AY907769.1.1521,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
225,OTU225,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AY907781.1.1504,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
130,OTU130,Bacteria,Chloroflexi,SAR202 clade,,,,AY907820.1.1458,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1332,OTU1332,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus,CAGN02000147.4055.5576,g_Roseibacillus,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus;
514,OTU514,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Zunongwangia,CP001650.759240.760762,g_Zunongwangia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Zunongwangia;
1899,OTU1899,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,marine group,CP001842.3507.4983,g_marine group,Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Atelocyanobacterium (UCYN-A);
788,OTU788,Bacteria,Cyanobacteria,Chloroplast,,,,CR954199.69730.71299,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
28,OTU28,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,DQ009125.1.1942,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
3258,OTU3258,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,OM60(NOR5) clade,DQ009135.1.2271,g_OM60(NOR5) clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;OM60(NOR5) clade;
625,OTU625,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,DQ009139.1.2091,g_Thiothrix,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
39,OTU39,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,DQ009141.1.1996,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
136,OTU136,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,DQ009159.1.1986,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
201,OTU201,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 3,,DQ009161.1.1974,f_Surface 3,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
272,OTU272,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,DQ009253.1.1978,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
766,OTU766,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,DQ009291.1.2219,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
1370,OTU1370,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,DQ009427.1.2076,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
993,OTU993,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,DQ009434.1.2078,g_NS2b marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
25,OTU25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,DQ009453.1.1963,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
295,OTU295,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,DQ009458.1.2068,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
952,OTU952,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina,DQ009478.1.1823,g_Nitrospina,Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
323,OTU323,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,DQ071172.1.1397,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
2895,OTU2895,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,DQ116002.1.1486,g_Rheinheimera,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Rheinheimera;
1815,OTU1815,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,DQ117432.1.1510,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
171,OTU171,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ156348.18592.20063,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
284,OTU284,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ156396.1.1264,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
800,OTU800,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ156443.1.1290,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
138,OTU138,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,DQ156479.1.1258,f_Marine Group III,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group III;
321,OTU321,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,DQ156480.1.1271,f_Marine Group III,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group III;
879,OTU879,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,DQ156481.1.1248,f_Marine Group III,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group III;
1078,OTU1078,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,,DQ269094.1.1345,f_FamilyI,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Synechococcales Incertae Sedis;Schizothrix LEGE 07164;
3251,OTU3251,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,DQ270712.1.1478,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
29,OTU29,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ299286.1.1392,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
892,OTU892,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,DQ300608.1.1456,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1892,OTU1892,Bacteria,Chloroflexi,JG30-KF-CM66,,,,DQ300613.1.1323,c_JG30-KF-CM66,Bacteria;Chloroflexi;JG30-KF-CM66;
2204,OTU2204,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,DQ337006.1.1494,g_Oceanobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Oceanobacter;
1145,OTU1145,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Mesonia,DQ367409.1.1434,g_Mesonia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Mesonia;
1108,OTU1108,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ374241.1.1077,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
3745,OTU3745,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,DQ395037.1.1491,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;
3504,OTU3504,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus,DQ395511.1.1537,g_Roseibacillus,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus;
910,OTU910,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,,DQ395548.1.1542,f_DEV007,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;
536,OTU536,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,NS7 marine group,DQ395552.1.1518,g_NS7 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS7 marine group;
2573,OTU2573,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Henriciella,DQ395891.1.1449,g_Henriciella,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Henriciella;
1508,OTU1508,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,DQ396091.1.1479,g_Thalassospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;
1167,OTU1167,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncultured,DQ396156.1.1469,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;
1872,OTU1872,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,DQ396194.1.1479,g_Erythrobacter,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;
1768,OTU1768,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncultured,DQ396208.1.1454,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;
2316,OTU2316,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured,DQ396288.1.1534,g_uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;uncultured;
2082,OTU2082,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,,DQ396294.1.1513,c_Arctic97B-4 marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Arctic97B-4 marine group;
2143,OTU2143,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,ZD0405,,DQ396337.1.1556,f_ZD0405,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
1657,OTU1657,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,DQ490980.1.1469,g_Sphingobium,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
791,OTU791,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,DQ492738.1.1429,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
704,OTU704,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,,DQ513029.1.1499,o_KI89A clade,Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
715,OTU715,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,DQ513090.1.1481,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
2101,OTU2101,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,DQ520891.1.1418,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1551,OTU1551,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,DQ677306.1.1446,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
368,OTU368,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Arenicella,DQ906760.1.1497,g_Arenicella,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;Arenicella;
862,OTU862,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF016474.1.1494,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
394,OTU394,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061412.1.1442,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1282,OTU1282,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061414.1.1410,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1273,OTU1273,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061418.1.1459,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1355,OTU1355,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061422.1.1421,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
631,OTU631,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061430.1.1450,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
757,OTU757,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF061436.1.1445,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1156,OTU1156,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF061450.1.1442,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1505,OTU1505,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF151229.1.1453,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1178,OTU1178,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF194102.1.1428,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2217,OTU2217,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF199931.1.1473,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
5096,OTU5096,Bacteria,Cyanobacteria,Chloroplast,,,,EF508371.19577.21067,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
150,OTU150,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,EF571926.1.1454,f_Surface 4,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade IV;
63,OTU63,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF571939.1.1526,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
605,OTU605,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EF571965.1.1491,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
